# automatically produced by dumpPowerStateSequenceToFile function
# Thu Jul 21 14:53:28 2011

# x	y	xlow	xhigh	ylow	yhigh
29	23.5	0	58	0	47
63	23.5	60	67	0	47
113	84.5	109	118	70	99
261	2288.5	148	375	2270	2307
405	122	405	406	111	133
668	84.5	406	930	70	99
965	2288.5	961	970	2270	2307
998	230	998	999	215	245
1847	84.5	1000	2695	70	99
2769	23.5	2704	2834	0	47
2853	84.5	2845	2861	70	99
2889	23.5	2870	2909	0	47
2919	84.5	2910	2929	70	99
2967	23.5	2940	2995	0	47
2997	84.5	2996	2998	70	99
3005	122	3002	3009	111	133
3062	230	3054	3071	215	245
3081	230	3080	3083	215	245
3093	122	3092	3095	111	133
3099	84.5	3097	3101	70	99
3128	23.5	3104	3153	0	47
3172	84.5	3168	3176	70	99
3187	23.5	3184	3191	0	47
3211	84.5	3208	3214	70	99
3266	122	3265	3267	111	133
3329	122	3325	3334	111	133
3344	122	3340	3349	111	133
3358	122	3354	3362	111	133
3385	122	3384	3386	111	133
3392	122	3390	3394	111	133
3404	122	3399	3409	111	133
3419	122	3414	3424	111	133
3428	122	3425	3432	111	133
3443	84.5	3434	3453	70	99
3458	84.5	3457	3460	70	99
3472	84.5	3462	3482	70	99
3509	23.5	3492	3526	0	47
3537	84.5	3528	3546	70	99
3587	23.5	3557	3617	0	47
3619	84.5	3618	3621	70	99
3628	122	3625	3631	111	133
3689	230	3679	3700	215	245
3702	230	3701	3704	215	245
3715	122	3714	3717	111	133
3721	84.5	3719	3723	70	99
3751	23.5	3727	3775	0	47
3798	84.5	3791	3805	70	99
3814	23.5	3812	3816	0	47
3836	84.5	3833	3839	70	99
3873	122	3846	3901	111	133
4050	122	3905	4195	111	133
4204	84.5	4197	4211	70	99
4227	84.5	4227	4228	70	99
4234	84.5	4234	4235	70	99
4245	84.5	4236	4254	70	99
4281	23.5	4264	4298	0	47
4309	84.5	4299	4319	70	99
4356	23.5	4329	4383	0	47
4386	84.5	4385	4387	70	99
4388	122	4388	4389	111	133
4398	230	4395	4402	215	245
4576	230	4423	4730	215	245
4743	122	4741	4745	111	133
4748	84.5	4746	4750	70	99
4763	23.5	4753	4773	0	47
